iter	RMSE
0	541.2749955
1	525.5617306
2	510.9060958
3	497.3142143
4	484.6227433
5	472.9001812
6	461.9814966
7	451.8323621
8	442.4472568
9	433.7772391
10	425.5446089
11	417.794373
12	410.959175
13	404.3373779
14	398.5465491
15	392.8623311
16	387.6906867
17	382.844577
18	378.6664346
19	374.7923338
20	371.175366
21	367.7100404
22	364.6184029
23	361.6694799
24	358.8246935
25	356.3155653
26	353.9980408
27	351.9444382
28	349.920538
29	348.1486113
30	346.4656052
31	344.9970585
32	343.5412233
33	342.1879683
34	340.9831647
35	339.7575972
36	338.7264406
37	337.777155
38	336.8246263
39	335.9389282
40	335.1359701
41	334.3805897
42	333.609531
43	332.9110684
44	332.1855152
45	331.6309519
46	331.0093441
47	330.4627788
48	329.7936587
49	329.248215
50	328.7108612
51	328.2556802
52	327.8438858
53	327.4569004
54	327.0449077
55	326.6693726
56	326.2183285
57	325.7927081
58	325.4666456
59	325.1706794
60	324.8184413
61	324.4844031
62	324.1875147
63	323.8094276
64	323.4671288
65	322.8611442
66	322.404093
67	322.0782919
68	321.8145386
69	321.4126571
70	321.1916977
71	320.9044504
72	320.6607423
73	320.4642476
74	320.2309838
75	320.0012083
76	319.632802
77	319.3160926
78	318.8907891
79	318.6997295
80	318.5299122
81	318.2758059
82	318.1208122
83	317.7766315
84	317.4144781
85	317.2647387
86	317.1165974
87	316.7829632
88	316.445582
89	316.0685575
90	315.9676416
91	315.6560286
92	315.5096706
93	315.4096376
94	315.2728583
95	315.0807812
96	314.9603562
97	314.7380864
98	314.6007117
99	314.3373207
100	314.2336895
101	314.1191879
102	313.6131281
103	313.4712997
104	313.3725112
105	313.2879225
106	313.2085254
107	313.0189819
108	312.793723
109	312.4464818
110	312.1773551
111	311.9810586
112	311.8684252
113	311.8014299
114	311.5526233
115	311.0637035
116	310.915383
117	310.8230455
118	310.0991769
119	310.045186
120	309.8983948
121	309.521319
122	309.3855985
123	309.3007007
124	308.9226003
125	308.750545
126	308.6948064
127	308.6051388
128	308.5227511
129	308.1705042
130	308.1203646
131	307.9493085
132	307.7748919
133	307.6480799
134	307.1484296
135	306.949381
136	306.9084171
137	306.6887321
138	306.5583108
139	306.4778486
140	306.4392742
141	306.1943154
142	305.8659749
143	305.4581212
144	305.3833521
145	305.3458286
146	305.2174567
147	305.0757548
148	304.9675647
149	304.7986889
150	304.6779576
151	304.5721786
152	304.42281
153	304.3690011
154	304.3181134
155	304.2422257
156	303.9682285
157	303.81271
158	303.7290109
159	303.6299758
160	303.5625951
161	303.1090387
162	303.0159394
163	302.9553797
164	302.8170737
165	302.7063126
166	302.6034108
167	302.3732191
168	302.322706
169	302.2500259
170	302.1480473
171	302.0971671
172	302.0746997
173	302.025431
174	301.8689827
175	301.7984776
176	301.7544944
177	301.7287838
178	301.6699018
179	301.5589496
180	301.4805804
181	301.3748413
182	301.2397861
183	301.1799614
184	301.1551829
185	301.1239942
186	301.0178993
187	300.9922903
188	300.9302626
189	300.8685101
190	300.8090626
191	300.7108984
192	300.6619123
193	300.4598823
194	300.3741203
195	300.2090083
196	300.1665305
197	299.9809869
198	299.8926838
199	299.7887895
200	299.719666
201	299.6426992
202	299.5670688
203	299.5051283
204	299.4292625
205	299.3922522
206	299.3266641
207	299.2970692
208	299.1384737
209	299.1000322
210	299.0140014
211	298.9829097
212	298.9270154
213	298.7424743
214	298.7144168
215	298.5308499
216	298.4502015
217	298.4140959
218	298.3510761
219	298.2637457
220	298.1874269
221	298.1284733
222	298.0818425
223	298.0104811
224	297.9728947
225	297.9236022
226	297.8410083
227	297.7694571
228	297.6016868
229	297.565453
230	297.4663966
231	297.1937136
232	297.1804979
233	297.1253674
234	297.0657811
235	296.7511793
236	296.7244349
237	296.5765955
238	296.5135668
239	296.3724224
240	296.3244297
241	296.2902933
242	296.1931986
243	296.0137125
244	295.8805994
245	295.8138526
246	295.6816481
247	295.6559828
248	295.5656282
249	295.2046038
250	295.1804268
251	295.141526
252	294.8225081
253	294.7849701
254	294.6967157
255	294.6409054
256	294.5985637
257	294.5173245
258	294.4957948
259	294.4718781
260	294.4268995
261	294.1292239
262	294.0896219
263	294.0533832
264	294.0036072
265	293.9715661
266	293.7112609
267	293.6917269
268	293.6278836
269	293.6029103
270	293.5445026
271	293.4843248
272	293.4749394
273	293.4429477
274	293.3642915
275	293.3024045
276	293.2582483
277	293.2109558
278	293.1518974
279	293.1334931
280	293.090812
281	292.8901331
282	292.8537334
283	292.7734428
284	292.7066005
285	292.6537557
286	292.6099331
287	292.5835761
288	292.5757153
289	292.5338199
290	292.4922639
291	292.4854416
292	292.4567679
293	292.4349185
294	292.3164941
295	292.2866845
296	292.2279584
297	292.1944838
298	292.1251422
299	292.0148577
300	292.0080187
301	291.9808087
302	291.909849
303	291.8956269
304	291.8705638
305	291.6607014
306	291.5793201
307	291.498934
308	291.3499793
309	291.3252797
310	291.2586928
311	291.2048097
312	291.1766592
313	291.1303057
314	291.0632267
315	291.0409321
316	291.0109941
317	290.8862336
318	290.8511223
319	290.8083755
320	290.7539113
321	290.7320506
322	290.7019069
323	290.6825967
324	290.6415503
325	290.6178949
326	290.6113583
327	290.6061659
328	290.5187459
329	290.4598304
330	290.4149677
331	290.3963716
332	290.3738373
333	290.357299
334	290.3191217
335	290.2987111
336	290.2750819
337	290.2225374
338	290.2086464
339	290.1651665
340	290.1430006
341	290.1068888
342	289.9967544
343	289.9745446
344	289.8276009
345	289.8152438
346	289.8115039
347	289.7610728
348	289.7242317
349	289.7064509
350	289.6909511
351	289.6582454
352	289.5160565
353	289.4861747
354	289.4650352
355	289.4402247
356	289.3068531
357	289.2765237
358	289.2561602
359	289.2400492
360	289.1363937
361	289.1326928
362	289.1022492
363	289.0740667
364	289.0562137
365	289.0072789
366	288.9590662
367	288.9179488
368	288.9033942
369	288.7789594
370	288.7351615
371	288.6519121
372	288.6295865
373	288.6008609
374	288.5980499
375	288.5789312
376	288.5627846
377	288.5365998
378	288.4907386
379	288.3981803
380	288.3625954
381	288.3406236
382	288.320067
383	288.2871441
384	288.1935809
385	288.1635705
386	288.1432317
387	288.1193954
388	288.1007867
389	288.0283812
390	287.9993391
391	287.8910659
392	287.8412666
393	287.8078702
394	287.6504358
395	287.6333092
396	287.6210677
397	287.6183738
398	287.602753
399	287.5543473
400	287.530321
401	287.495864
402	287.4613337
403	287.4404009
404	287.4008979
405	287.3376521
406	287.2744937
407	287.2508876
408	287.2487005
409	287.2279786
410	287.2163694
411	287.2142818
412	287.1547407
413	287.1278689
414	287.1161825
415	287.1027797
416	287.013186
417	286.9573713
418	286.9350936
419	286.8864498
420	286.8685299
421	286.8557634
422	286.846829
423	286.8273848
424	286.7960267
425	286.7402702
426	286.7105208
427	286.6017112
428	286.5841618
429	286.5762185
430	286.5395626
431	286.5012047
432	286.4852977
433	286.4833256
434	286.4673672
435	286.4421151
436	286.3463156
437	286.3244946
438	286.3160807
439	286.3007736
440	286.2780936
441	286.2673388
442	286.233495
443	286.213071
444	286.1974618
445	286.1681331
446	286.1370513
447	286.0488598
448	286.0337691
449	286.0144133
450	285.9937705
451	285.9566182
452	285.9338443
453	285.9243344
454	285.9114884
455	285.8709787
456	285.8484718
457	285.8185275
458	285.8170055
459	285.7974626
460	285.7772642
461	285.7641291
462	285.7520807
463	285.7151919
464	285.7058386
465	285.6723041
466	285.6211767
467	285.6061942
468	285.5978913
469	285.5775513
470	285.5314475
471	285.5191134
472	285.5108089
473	285.5092468
474	285.4966088
475	285.4364328
476	285.4274389
477	285.3775578
478	285.3508832
479	285.3446898
480	285.3219405
481	285.2951328
482	285.2820099
483	285.1984061
484	285.1881733
485	285.154821
486	285.1186582
487	285.1170288
488	285.0885434
489	285.0728248
490	285.0654864
491	285.0512991
492	285.0407061
493	285.0349647
494	284.9597475
495	284.9458811
496	284.8894275
497	284.88195
498	284.7948645
499	284.7842217
500	284.7707845
501	284.7550939
502	284.7182431
503	284.6995832
504	284.6926319
505	284.679284
506	284.6719684
507	284.6507787
508	284.6318736
509	284.5689235
510	284.5559296
511	284.5461344
512	284.5184519
513	284.4780223
514	284.4520059
515	284.4389168
516	284.4227006
517	284.4183658
518	284.4054408
519	284.3999387
520	284.3759846
521	284.3508565
522	284.3321922
523	284.3156796
524	284.3067843
525	284.2976234
526	284.2964044
527	284.2899344
528	284.2806287
529	284.2033897
530	284.1911311
531	284.149447
532	284.0596216
533	284.0366603
534	284.030921
535	283.9912228
536	283.9831799
537	283.8670693
538	283.8349129
539	283.8141003
540	283.8029281
541	283.7266073
542	283.706197
543	283.6999766
544	283.6974501
545	283.6819047
546	283.6728182
547	283.6632228
548	283.6456754
549	283.644487
550	283.6307084
551	283.6242306
552	283.6163691
553	283.581221
554	283.5709143
555	283.5351028
556	283.5198591
557	283.5046083
558	283.4848811
559	283.3395872
560	283.3316051
561	283.3127935
562	283.2974294
563	283.2221591
564	283.136961
565	283.1322258
566	283.0804615
567	283.0709414
568	283.0297595
569	283.0157206
570	282.9969689
