iter	Passed	Remaining
0	2043	4084850
1	3707	3703314
2	5476	3645838
3	8307	4145310
4	9807	3913010
5	11136	3700879
6	12552	3573894
7	13911	3463953
8	15101	3340819
9	16482	3280079
10	17743	3208379
11	19033	3153169
12	20236	3093108
13	21526	3053667
14	22959	3038258
15	24495	3037438
16	25972	3029594
17	27327	3009013
18	28841	3007070
19	30361	3005778
20	31754	2992525
21	33218	2986600
22	34567	2971323
23	35982	2962591
24	37298	2946563
25	38751	2942153
26	40240	2940510
27	41703	2937125
28	43226	2937889
29	44668	2933257
30	46190	2933839
31	47613	2928246
32	49106	2927054
33	50587	2925135
34	52118	2926077
35	53417	2914233
36	54960	2915861
37	56402	2912131
38	57869	2909803
39	59173	2899513
40	60537	2892526
41	62063	2893344
42	63620	2895464
43	65332	2904327
44	66719	2898611
45	68025	2889620
46	69417	2884516
47	70730	2876393
48	72113	2871309
49	73571	2869302
50	75024	2867097
51	76489	2865402
52	77842	2859615
53	79344	2859332
54	80843	2858915
55	82286	2856517
56	83583	2849178
57	84892	2842427
58	86223	2836618
59	87729	2836575
60	89137	2833389
61	90499	2828837
62	91866	2824524
63	93289	2822017
64	94932	2826064
65	96424	2825520
66	98081	2829724
67	99550	2828411
68	101273	2834176
69	102986	2839486
70	104473	2838438
71	106088	2840818
72	107599	2840320
73	108914	2834719
74	110411	2833885
75	111879	2832316
76	113367	2831233
77	114853	2830110
78	116046	2821840
79	117421	2818113
80	118855	2815846
81	120664	2822370
82	122131	2820803
83	123547	2818057
84	125140	2819336
85	126587	2817303
86	127994	2814404
87	129622	2816334
88	131089	2814741
89	132724	2816714
90	134236	2816012
91	135960	2819710
92	137313	2815672
93	138656	2811489
94	140148	2810351
95	141728	2810951
96	143198	2809341
97	144686	2808102
98	146178	2806921
99	147560	2803653
100	149129	2803932
101	150736	2804885
102	152026	2799942
103	153628	2800772
104	155216	2801295
105	156557	2797363
106	157928	2794000
107	159455	2793418
108	160945	2792176
109	162584	2793492
110	164194	2794266
111	165468	2789332
112	166943	2787802
113	168233	2783229
114	169913	2785096
115	171410	2783938
116	172824	2781432
117	174248	2779108
118	175912	2780592
119	177418	2779555
120	178821	2776907
121	180338	2776024
122	181540	2770334
123	182900	2767100
124	184452	2766792
125	185851	2764179
126	187094	2759270
127	188402	2755391
128	188945	2740441
129	190395	2738767
130	191520	2732451
131	193057	2732049
132	194746	2733775
133	196111	2730929
134	197590	2729672
135	199257	2730993
136	200692	2729121
137	202249	2728904
138	203776	2728255
139	205495	2730153
140	206936	2728333
141	208472	2727766
142	209861	2725258
143	211312	2723582
144	212588	2719662
145	213796	2714920
146	215217	2712911
147	217013	2715602
148	218801	2718133
149	220780	2722955
150	222764	2727761
151	224557	2730145
152	226448	2733660
153	227676	2729156
154	229048	2726412
155	230897	2729328
156	232604	2730505
157	234107	2729279
158	235427	2725927
159	236877	2724088
160	238061	2719227
161	239674	2719270
162	240881	2714722
163	242239	2711897
164	243633	2709495
165	245225	2709300
166	246691	2707702
167	248016	2704557
168	249459	2702727
169	251108	2703113
170	252348	2699096
171	253612	2695371
172	254906	2691992
173	256133	2687934
174	257831	2688818
175	259136	2685600
176	260501	2683013
177	261823	2680009
178	263274	2678339
179	264699	2676409
180	266105	2674286
181	267634	2673399
182	269082	2671707
183	270486	2669583
184	271837	2666947
185	273215	2664588
186	274821	2664442
187	276264	2662715
188	277335	2657427
189	278704	2655030
190	280043	2652348
191	281530	2651077
192	283016	2649794
193	284515	2648632
194	285985	2647195
195	287426	2645497
196	288691	2642182
197	289995	2639256
198	291307	2636409
199	292707	2634367
200	294261	2633716
201	295861	2633457
202	297477	2633332
203	298793	2630551
204	300130	2627973
205	301665	2627123
206	303251	2626714
207	304724	2625315
208	306393	2625598
209	307936	2624788
210	309336	2622762
211	310811	2621371
212	312428	2621172
213	313544	2616776
214	314719	2612907
215	316225	2611790
216	317653	2610027
217	319065	2608140
218	320516	2606576
219	321926	2604681
220	323253	2602119
221	324822	2601509
222	326352	2600576
223	328119	2601522
224	329490	2599315
225	330977	2598029
226	332449	2596620
227	333891	2594983
228	335192	2592256
229	336580	2590210
230	338087	2589076
231	339760	2589206
232	341056	2586467
233	342306	2583391
234	343681	2581266
235	345377	2581552
236	346805	2579821
237	348016	2576490
238	349410	2574528
239	350941	2573572
240	352293	2571303
241	353666	2569199
242	355044	2567130
243	356580	2566209
244	358085	2565063
245	359416	2562668
246	360620	2559385
247	361844	2556258
248	363423	2555642
249	365014	2555100
250	366605	2554556
251	367980	2552498
252	369582	2552017
253	371018	2550386
254	372572	2549567
255	374004	2547905
256	375635	2547599
257	377007	2545534
258	378470	2544081
259	379980	2542947
260	381506	2541914
261	382968	2540453
262	384250	2537805
263	385655	2535977
264	387017	2533870
265	388367	2531687
266	389642	2529027
267	390967	2526698
268	392343	2524711
269	393889	2523810
270	395509	2523379
271	396798	2520834
272	398048	2518057
273	399515	2516653
274	401103	2516015
275	402750	2515732
276	404350	2515148
277	405980	2514741
278	407338	2512650
279	408527	2509527
280	409994	2508118
281	411354	2506050
282	412773	2504354
283	414142	2502356
284	415699	2501488
285	417442	2501737
286	418864	2500050
287	420315	2498543
288	421611	2496116
289	423123	2494970
290	424538	2493253
291	425988	2491742
292	427496	2490568
293	428811	2488273
294	430098	2485823
295	431443	2483714
296	432861	2482028
297	434437	2481251
298	435763	2479044
299	437006	2476369
300	438316	2474086
301	439592	2471618
302	441064	2470252
303	442459	2468457
304	443722	2465934
305	445105	2464080
306	446566	2462662
307	448099	2461637
308	449638	2460641
309	450903	2458152
310	452378	2456808
311	453747	2454890
312	455259	2453746
313	456572	2451532
314	458026	2450078
315	459401	2448203
316	460607	2445434
317	461833	2442778
318	463307	2441441
319	464845	2440437
320	466161	2438270
321	467547	2436474
322	469033	2435200
323	470305	2432815
324	471679	2430963
325	473075	2429229
326	474492	2427603
327	475904	2425951
328	477628	2425887
329	479120	2424640
330	480436	2422504
331	481724	2420228
332	483164	2418724
333	484630	2417349
334	486021	2415598
335	487243	2413012
336	488271	2409480
337	489664	2407759
338	491261	2407036
339	492628	2405186
340	494027	2403493
341	495535	2402330
342	496817	2400078
343	498048	2397580
344	499570	2396490
345	500953	2394731
346	502236	2392497
347	503670	2390988
348	505148	2389683
349	506505	2387812
350	508031	2386735
351	509418	2385004
352	511084	2384576
353	512576	2383337
354	513897	2381300
355	515306	2379671
356	516754	2378229
357	518215	2376842
358	519692	2375531
359	521123	2374008
360	522504	2372258
361	523906	2370605
362	525485	2369751
363	526664	2367094
364	528102	2365609
365	529604	2364411
366	530979	2362641
367	532138	2359916
368	533513	2358157
369	534943	2356643
370	536320	2354895
371	537912	2354088
372	539293	2352362
373	540586	2350248
374	541844	2347994
375	543372	2346906
376	544850	2345603
377	546256	2343989
378	547679	2342449
379	548756	2339436
380	550044	2337329
381	551576	2336259
382	552890	2334265
383	554449	2333308
384	555903	2331905
385	557457	2330924
386	558911	2329519
387	560508	2328712
388	561638	2325963
389	563119	2324674
390	564419	2322638
391	565865	2321203
392	567453	2320349
393	568745	2318289
394	570273	2317188
395	571539	2315024
396	572959	2313485
397	574217	2311297
398	575682	2309945
399	577002	2308011
400	578192	2305560
401	579743	2304551
402	581245	2303346
403	582595	2301539
404	583959	2299790
405	585196	2297545
406	586522	2295650
407	587838	2293723
408	589226	2292075
409	590543	2290157
410	591927	2288498
411	593358	2287021
412	594684	2285144
413	596072	2283506
414	597469	2281902
415	598806	2280071
416	600238	2278602
417	601660	2277097
418	602912	2274949
419	604468	2273952
420	606003	2272873
421	607471	2271540
422	609041	2270587
423	610427	2268946
424	611758	2267104
425	613130	2265417
426	614644	2264251
427	616081	2262805
428	617556	2261496
429	619072	2260332
430	620433	2258606
431	621892	2257238
432	623038	2254736
433	624345	2252823
434	625646	2250887
435	627003	2249159
436	628354	2247410
437	629752	2245829
438	631035	2243841
439	632395	2242129
440	633776	2240493
441	635325	2239451
442	636548	2237260
443	637920	2235596
444	639280	2233889
445	640751	2232573
446	642077	2230753
447	643412	2228965
448	644889	2227670
449	646380	2226422
450	647817	2224988
451	649264	2223588
452	650737	2222274
453	652134	2220704
454	653536	2219150
455	655121	2218220
456	656616	2216979
457	658207	2216059
458	659545	2214292
459	660897	2212568
460	662177	2210609
461	663470	2208694
462	664883	2207184
463	666099	2205018
464	667319	2202871
465	668440	2200404
466	669860	2198920
467	671028	2196613
468	672204	2194338
469	673472	2192367
470	674117	2188377
471	675599	2187109
472	676774	2184850
473	678161	2183278
474	679559	2181742
475	680942	2180160
476	682286	2178453
477	683569	2176555
478	684993	2175105
479	686255	2173142
480	687616	2171495
481	688939	2169730
482	690240	2167899
483	691652	2166414
484	692902	2164426
485	694104	2162291
486	695312	2160179
487	696618	2158376
488	697753	2156044
489	698976	2153989
490	700197	2151931
491	701575	2150357
492	702948	2148768
493	704219	2146872
494	705686	2145573
495	706704	2142911
496	708070	2141306
497	709309	2139322
498	710662	2137684
499	711938	2135814
500	713137	2133720
501	714478	2132049
502	715934	2130722
503	717374	2129350
504	718716	2127684
505	719998	2125846
506	721385	2124317
507	722801	2122875
508	724206	2121398
509	725626	2119967
510	727048	2118543
511	728290	2116594
512	729546	2114689
513	731312	2114260
514	732731	2112826
515	733998	2110957
516	735524	2109830
517	736957	2108437
518	738765	2108115
519	740233	2106817
520	741596	2105222
521	742913	2103498
522	744449	2102394
523	745720	2100541
524	747315	2099601
525	748614	2097828
526	749976	2096234
527	751428	2094890
528	753040	2093993
529	754632	2093035
530	756025	2091528
531	757537	2090347
532	759075	2089237
533	760515	2087857
534	761919	2086377
535	763292	2084814
536	764603	2083082
537	766036	2081682
538	767357	2079981
539	768636	2078164
540	770045	2076703
541	771354	2074971
542	772822	2073669
543	774129	2071934
544	775348	2069966
545	776683	2068311
546	777925	2066410
547	779178	2064538
548	780485	2062814
549	781696	2060837
550	782972	2059032
551	784391	2057607
552	785755	2056035
553	787311	2054967
554	788878	2053926
555	790221	2052302
556	791539	2050613
557	792869	2048956
558	794261	2047460
559	795597	2045822
560	797123	2044671
561	798500	2043137
562	799750	2041281
563	801104	2039690
564	802587	2038431
565	804003	2036999
566	805427	2035587
567	806789	2034017
568	808216	2032614
569	809504	2030863
570	810960	2029530
571	812262	2027816
572	813538	2026036
573	814832	2024306
574	816156	2022649
575	817718	2021582
576	818895	2019562
577	820433	2018437
578	821882	2017091
579	823399	2015909
580	824593	2013939
581	826028	2012558
582	827374	2010960
583	828886	2009765
584	830370	2008503
585	831646	2006738
586	833078	2005348
587	834617	2004217
588	835992	2002691
589	837091	2000506
590	838477	1999008
591	839623	1996942
592	840831	1995024
593	842171	1993422
594	843351	1991443
595	844612	1989657
596	846064	1988323
597	847408	1986732
598	848729	1985091
599	849899	1983099
600	850785	1980446
601	852171	1978962
602	853596	1977569
603	855109	1976379
604	856428	1974739
605	857677	1972941
606	858579	1970347
607	859844	1968592
608	861214	1967075
609	862633	1965673
610	864089	1964354
611	865526	1962990
612	866273	1960067
613	867580	1958415
614	868857	1956695
615	870241	1955218
616	871684	1953873
617	873037	1952326
618	874367	1950729
619	875726	1949197
620	876793	1947018
621	878119	1945416
622	879592	1944140
623	880996	1942709
624	882315	1941094
625	883772	1939780
626	885265	1938548
627	886702	1937191
628	888078	1935699
629	889341	1933965
630	890714	1932469
631	892110	1931024
632	893507	1929581
633	894896	1928121
634	896294	1926681
635	897673	1925198
636	899045	1923703
637	900204	1921753
638	901692	1920506
639	903099	1919086
640	904492	1917636
641	905833	1916077
642	906975	1914099
643	908549	1913032
644	909828	1911345
645	911204	1909861
646	912455	1908117
647	913826	1906624
648	915136	1905005
649	916572	1903650
650	917926	1902125
651	919545	1901147
652	921079	1899990
653	922567	1898738
654	924000	1897374
655	925370	1895881
656	926589	1894078
657	927911	1892488
658	929156	1890741
659	930329	1888850
660	931513	1886984
661	933077	1885887
662	934580	1884666
663	936081	1883441
664	937115	1881276
665	938605	1880029
666	939967	1878526
667	941277	1876918
668	942455	1875048
669	943500	1872918
670	944869	1871432
671	946237	1869945
672	947720	1868684
673	948999	1867021
674	950177	1865162
675	951508	1863605
676	952863	1862094
677	954072	1860300
678	955335	1858612
679	956944	1857598
680	957720	1854967
681	959026	1853367
682	960358	1851818
683	961728	1850343
684	962973	1848628
685	964375	1847214
686	966083	1846385
687	967430	1844868
688	968596	1843004
689	969965	1841529
690	971235	1839866
691	972312	1837839
692	973722	1836442
693	974759	1834344
694	975930	1832502
695	977217	1830879
696	978575	1829388
697	979709	1827481
698	981051	1825962
699	982110	1823920
700	983510	1822511
701	984973	1821219
702	985813	1818776
703	987342	1817608
704	988540	1815830
705	989919	1814384
706	991221	1812799
707	992567	1811296
708	993916	1809798
709	995239	1808252
710	996525	1806641
711	997914	1805216
712	999328	1803836
713	1000843	1802639
714	1002348	1801423
715	1003638	1799820
716	1005030	1798401
717	1006232	1796644
718	1007572	1795132
719	1008470	1792836
720	1009791	1791294
721	1011048	1789639
722	1012520	1788366
723	1013779	1786715
724	1015129	1785228
725	1016450	1783688
726	1017853	1782293
727	1019110	1780643
728	1020403	1779058
729	1021372	1776907
730	1022709	1775400
731	1023995	1773806
732	1025144	1771975
733	1026497	1770498
734	1027760	1768866
735	1029034	1767254
736	1030593	1766131
737	1031977	1764709
738	1032736	1762220
739	1033961	1760529
740	1035216	1758889
741	1036523	1757340
742	1037951	1755995
743	1039413	1754709
744	1040783	1753266
745	1042039	1751632
746	1043512	1750362
747	1044769	1748732
748	1046181	1747361
749	1047595	1745992
750	1048953	1744531
751	1050196	1742879
752	1051658	1741591
753	1052887	1739917
754	1054197	1738379
755	1055586	1736970
756	1056733	1735164
757	1057917	1733421
758	1059088	1731658
759	1060128	1729684
760	1061115	1727623
761	1062744	1726611
762	1064224	1725354
763	1065578	1723894
764	1067030	1722591
765	1068351	1721077
766	1069670	1719561
767	1070954	1717990
768	1072317	1716544
769	1073767	1715239
770	1075266	1714010
771	1076822	1712872
772	1078370	1711721
773	1079649	1710141
774	1080922	1708555
775	1082464	1707391
776	1083718	1705775
777	1084994	1704195
778	1086461	1702914
779	1088020	1701775
780	1089404	1700364
781	1090704	1698820
782	1092125	1697466
783	1093519	1696070
784	1094950	1694732
785	1096303	1693272
786	1097552	1691653
787	1098832	1690082
788	1100237	1688704
789	1101518	1687135
790	1102734	1685469
791	1104238	1684242
792	1105401	1682496
793	1106118	1680074
794	1107351	1678437
795	1108536	1676731
796	1109745	1675061
797	1111169	1673716
798	1112444	1672148
799	1113853	1670780
800	1115367	1669570
801	1116643	1668004
802	1118020	1666588
803	1119297	1665025
804	1120573	1663459
805	1121898	1661969
806	1123149	1660367
807	1124574	1659025
808	1126013	1657703
809	1127295	1656150
810	1128637	1654685
811	1130236	1653597
812	1131461	1651961
813	1132783	1650468
814	1133358	1647888
815	1134631	1646328
816	1135895	1644753
817	1137076	1643061
818	1138419	1641603
819	1139619	1639940
820	1141014	1638558
821	1142352	1637093
822	1143585	1635479
823	1144874	1633947
824	1146236	1632518
825	1147306	1630675
826	1148557	1629090
827	1149934	1627685
828	1151044	1625902
829	1152375	1624432
830	1153592	1622803
831	1154698	1621018
832	1156077	1619618
833	1157203	1617864
834	1158393	1616201
835	1159888	1614964
836	1161287	1613593
837	1162649	1612169
838	1164117	1610894
839	1165603	1609642
840	1166909	1608142
841	1167937	1606260
842	1169326	1604876
843	1170657	1603413
844	1171945	1601890
845	1173490	1600719
846	1174677	1599059
847	1176180	1597830
848	1177445	1596277
849	1178820	1594875
850	1180073	1593307
851	1181505	1591981
852	1182741	1590392
853	1183747	1588494
854	1184979	1586902
855	1186139	1585214
856	1187409	1583675
857	1188559	1581975
858	1189901	1580532
859	1191248	1579096
860	1192495	1577529
861	1193958	1576247
862	1195127	1574577
863	1196667	1573396
864	1198168	1572163
865	1199468	1570666
866	1200886	1569324
867	1202082	1567692
868	1203336	1566138
869	1204571	1564558
870	1205872	1563064
871	1207125	1561510
872	1208368	1559944
873	1209675	1558460
874	1211022	1557028
875	1212375	1555604
876	1213657	1554090
877	1214933	1552568
878	1216240	1551087
879	1217620	1549698
880	1219139	1548486
881	1220562	1547152
882	1221711	1545472
883	1222970	1543930
884	1224351	1542544
885	1225618	1541014
886	1227195	1539874
887	1228565	1538473
888	1229916	1537049
889	1231182	1535519
890	1232606	1534186
891	1233973	1532783
892	1235091	1531071
893	1236373	1529563
894	1237680	1528086
895	1238768	1526340
896	1239971	1524736
897	1241294	1523281
898	1242594	1521798
899	1243817	1520221
900	1245272	1518928
901	1246628	1517515
902	1247755	1515822
903	1249178	1514491
904	1250488	1513021
905	1251824	1511585
906	1252989	1509941
907	1254220	1508379
908	1255355	1506702
909	1256517	1505059
910	1257845	1503615
911	1259065	1502043
912	1260375	1500578
913	1261837	1499294
914	1263309	1498022
915	1264570	1496499
916	1265874	1495029
917	1267310	1493714
918	1268641	1492275
919	1269862	1490708
920	1271167	1489240
921	1272272	1487537
922	1273358	1485814
923	1274839	1484553
924	1276089	1483022
925	1277258	1481399
926	1278496	1479856
927	1279695	1478268
928	1280960	1476758
929	1282115	1475121
930	1283385	1473618
931	1284758	1472234
932	1286012	1470713
933	1287379	1469322
934	1288884	1468087
935	1290251	1466696
936	1291686	1465381
937	1293033	1463968
938	1294319	1462484
939	1295466	1460845
940	1296884	1459511
941	1298007	1457846
942	1299262	1456331
943	1300601	1454909
944	1301815	1453349
945	1303190	1451969
946	1304509	1450526
947	1305858	1449117
948	1307159	1447655
949	1308500	1446236
950	1309575	1444526
951	1310912	1443105
952	1312374	1441821
953	1313798	1440496
954	1315339	1439298
955	1316419	1437596
956	1317372	1435756
957	1318724	1434354
958	1320098	1432974
959	1321405	1431522
960	1322628	1429980
961	1323838	1428424
962	1324877	1426685
963	1326350	1425413
964	1327707	1424017
965	1328976	1422528
966	1330479	1421287
967	1331706	1419753
968	1332735	1418008
969	1334102	1416624
970	1335239	1414996
971	1336523	1413525
972	1337679	1411918
973	1339013	1410500
974	1340401	1409139
975	1341571	1407550
976	1342967	1406197
977	1344070	1404539
978	1345433	1403153
979	1346566	1401528
980	1348071	1400290
981	1349300	1398765
982	1350657	1397374
983	1351881	1395845
984	1352828	1394031
985	1354148	1392603
986	1355370	1391074
987	1356809	1389768
988	1358411	1388628
989	1359787	1387257
990	1361169	1385892
991	1362604	1384581
992	1364061	1383292
993	1365394	1381878
994	1366818	1380555
995	1368148	1379137
996	1369620	1377862
997	1370639	1376133
998	1372081	1374828
999	1373270	1373270
1000	1374820	1372073
1001	1376157	1370663
1002	1377329	1369089
1003	1378544	1367560
1004	1379399	1365673
1005	1380620	1364152
1006	1381948	1362735
1007	1383040	1361087
1008	1384416	1359718
1009	1385561	1358124
1010	1386577	1356404
1011	1387900	1354985
1012	1389078	1353425
1013	1390272	1351882
1014	1391470	1350343
1015	1392799	1348931
1016	1394009	1347405
1017	1395255	1345914
1018	1396599	1344518
1019	1398097	1343269
1020	1399492	1341922
1021	1400527	1340230
1022	1401972	1338931
1023	1403291	1337512
1024	1404474	1335963
1025	1405942	1334686
1026	1407254	1333260
1027	1408594	1331862
1028	1409926	1330455
1029	1411167	1328963
1030	1412580	1327633
1031	1414094	1326398
1032	1415370	1324940
1033	1416824	1323648
1034	1418152	1322238
1035	1419587	1320929
1036	1420828	1319438
1037	1422213	1318082
1038	1423481	1316617
1039	1424953	1315341
1040	1426349	1313994
1041	1427534	1312455
1042	1429058	1311226
1043	1430375	1309807
1044	1431665	1308364
1045	1433046	1307004
1046	1434297	1305526
1047	1435636	1304128
1048	1436796	1302567
1049	1438166	1301198
1050	1439736	1300009
1051	1440601	1298184
1052	1442047	1296884
1053	1443284	1295395
1054	1444522	1293908
1055	1445717	1292384
1056	1446960	1290902
1057	1448299	1289506
1058	1449393	1287893
1059	1450714	1286482
1060	1452058	1285092
1061	1453271	1283585
1062	1454633	1282212
1063	1455622	1280510
1064	1457098	1279236
1065	1458513	1277909
1066	1459819	1276486
1067	1461186	1275118
1068	1462523	1273722
1069	1463792	1272267
1070	1464999	1270760
1071	1466171	1269223
1072	1467319	1267665
1073	1468632	1266250
1074	1469859	1264762
1075	1471346	1263498
1076	1472435	1261892
1077	1473831	1260549
1078	1475081	1259082
1079	1475844	1257200
1080	1477253	1255870
1081	1478500	1254402
1082	1479921	1253081
1083	1481337	1251757
1084	1482462	1250187
1085	1483723	1248731
1086	1484918	1247221
1087	1486140	1245735
1088	1487605	1244452
1089	1488706	1242864
1090	1490184	1241592
1091	1491405	1240106
1092	1492706	1238686
1093	1494065	1237315
1094	1495155	1235722
1095	1496193	1234086
1096	1497608	1232762
1097	1498943	1231372
1098	1500386	1230070
1099	1501664	1228634
1100	1502801	1227083
1101	1504020	1225599
1102	1505391	1224239
1103	1506864	1222962
1104	1508140	1221525
1105	1509635	1220265
1106	1510786	1218728
1107	1512031	1217267
1108	1513147	1215703
1109	1514495	1214325
1110	1515740	1212865
1111	1516994	1211412
1112	1518049	1209801
1113	1519170	1208244
1114	1520313	1206706
1115	1521638	1205312
1116	1523043	1203981
1117	1524412	1202622
1118	1525793	1201272
1119	1527232	1199968
1120	1528806	1198770
1121	1530125	1197370
1122	1531321	1195876
1123	1532916	1194693
1124	1534437	1193451
1125	1535612	1191940
1126	1536999	1190595
1127	1538374	1189240
1128	1539700	1187846
1129	1541167	1186562
1130	1542673	1185307
1131	1544133	1184017
1132	1545569	1182708
1133	1546839	1181272
1134	1547637	1179477
1135	1548990	1178105
1136	1550017	1176486
1137	1551190	1174978
1138	1552613	1173661
1139	1553948	1172276
1140	1555030	1170702
1141	1556404	1169347
1142	1557590	1167852
1143	1558662	1166272
1144	1560022	1164907
1145	1561417	1163569
1146	1562679	1162132
1147	1564234	1160913
1148	1565435	1159430
1149	1566658	1157965
1150	1567993	1156582
1151	1569394	1155248
1152	1570525	1153716
1153	1571945	1152396
1154	1573403	1151104
1155	1574731	1149717
1156	1575873	1148195
1157	1577074	1146715
1158	1578402	1145328
1159	1579604	1143851
1160	1581177	1142642
1161	1582215	1141046
1162	1583784	1139834
1163	1585161	1138484
1164	1586643	1137207
1165	1588097	1135912
1166	1588922	1134166
1167	1589913	1132541
1168	1591311	1131205
1169	1592492	1129716
1170	1593835	1128343
1171	1595066	1126889
1172	1596440	1125538
1173	1597960	1124289
1174	1599507	1123058
1175	1600635	1121533
1176	1601521	1119840
1177	1602866	1118468
1178	1604302	1117160
1179	1605556	1115725
1180	1607016	1114433
1181	1608467	1113135
1182	1609814	1111765
1183	1611310	1110497
1184	1612539	1109046
1185	1613838	1107643
1186	1615057	1106184
1187	1616236	1104700
1188	1617631	1103363
1189	1618784	1101861
1190	1620190	1100532
1191	1621453	1099106
1192	1622907	1097809
1193	1624272	1096451
1194	1625543	1095031
1195	1626780	1093587
1196	1627876	1092050
1197	1629106	1090604
1198	1630411	1089207
1199	1631776	1087851
1200	1632890	1086327
1201	1634400	1085068
1202	1635650	1083635
1203	1637070	1082315
1204	1638558	1081040
1205	1640020	1079748
1206	1641183	1078259
1207	1642458	1076843
1208	1643655	1075377
1209	1644817	1073889
1210	1646239	1072570
1211	1647497	1071145
1212	1648795	1069745
1213	1650364	1068522
1214	1651792	1067207
1215	1653005	1065753
1216	1654346	1064382
1217	1655604	1062957
1218	1656942	1061585
1219	1658288	1060217
1220	1659776	1058940
1221	1661097	1057556
1222	1662464	1056201
1223	1663603	1054702
1224	1664943	1053331
1225	1666290	1051964
1226	1667548	1050541
1227	1668935	1049200
1228	1670330	1047864
1229	1671580	1046436
1230	1673001	1045116
1231	1674184	1043647
1232	1675234	1042096
1233	1676595	1040738
1234	1677925	1039362
1235	1679230	1037970
1236	1680701	1036681
1237	1681892	1035219
1238	1683279	1033878
1239	1684686	1032549
1240	1686262	1031324
1241	1687740	1030038
1242	1689232	1028760
1243	1690645	1027433
1244	1692080	1026121
1245	1693355	1024711
1246	1694690	1023337
1247	1696019	1021960
1248	1697421	1020627
1249	1698726	1019236
1250	1700078	1017872
1251	1701445	1016518
1252	1702810	1015163
1253	1704402	1013942
1254	1705775	1012591
1255	1707012	1011160
1256	1708413	1009825
1257	1709490	1008300
1258	1710809	1006917
1259	1712108	1005523
1260	1713339	1004090
1261	1714495	1002613
1262	1715530	1001065
1263	1716771	999638
1264	1718114	998272
1265	1719651	997017
1266	1720982	995643
1267	1722328	994277
1268	1723740	992950
1269	1724914	991486
1270	1726292	990139
1271	1727646	988779
1272	1729151	987504
1273	1730460	986118
1274	1731857	984781
1275	1733180	983403
1276	1734440	981989
1277	1735901	980689
1278	1737306	979357
1279	1738603	977964
1280	1740153	976714
1281	1741664	975440
1282	1743045	974094
1283	1744803	972959
1284	1746077	971552
1285	1747443	970198
1286	1748806	968841
1287	1749888	967329
1288	1751022	965847
1289	1752005	964282
1290	1752913	962676
1291	1753883	961106
1292	1754958	959594
1293	1756126	958133
1294	1757513	956793
1295	1759027	955520
1296	1760409	954177
